CID000003345	TARGETS	3757
CID000003345	TARGETS	2850
CID000003345	TARGETS	4157
CID000003345	TARGETS	1902
CID000003345	TARGETS	2925
CID000003345	TARGETS	4923
CID000003345	TARGETS	3358
CID000003345	TARGETS	134391
CID000003345	TARGETS	2861
CID000003345	TARGETS	5021
CID000003345	TARGETS	23596
CID000003345	TARGETS	554
CID000003345	TARGETS	7852
CID000003345	TARGETS	6752
CID000003345	TARGETS	6751
CID000003345	TARGETS	6755
CID000003345	TARGETS	2693
CID000003345	TARGETS	5733
CID000003345	TARGETS	187
CID000003345	TARGETS	147
CID000003345	TARGETS	4988
CID000003345	TARGETS	56923
CID000003345	TARGETS	1269
CID000003345	TARGETS	4889
CID000003345	TARGETS	2847
CID000003345	TARGETS	134
CID000003345	TARGETS	4987
CID000003345	TARGETS	4986
CID000003345	TARGETS	2798
CID000003345	TARGETS	84634
CID000003345	TARGETS	10886
CID000003345	TARGETS	10887
CID000003345	TARGETS	23566
CID000003345	TARGETS	9170
CID000003345	TARGETS	51289
CID000003345	TARGETS	128674
CID000003345	TARGETS	10803
CID000003345	TARGETS	1814
CID000003345	TARGETS	94233
CID000003345	TARGETS	1232
CID000003345	TARGETS	3062
CID000003345	TARGETS	1234
CID000003345	TARGETS	1230
CID000003345	TARGETS	1233
CID000003345	TARGETS	2831
CID000003345	TARGETS	3357
CID000003345	TARGETS	1241
CID000003345	TARGETS	6915
CID000003345	TARGETS	8811
CID000003345	TARGETS	623
CID000003345	TARGETS	150
CID000003345	TARGETS	339403
CID000003345	TARGETS	4886
CID000003345	TARGETS	186
CID000003345	TARGETS	4985
CID000003345	TARGETS	2587
CID000003345	TARGETS	8477
CID000003345	TARGETS	84109
CID000003345	TARGETS	6753
CID000003345	TARGETS	6754
CID000003345	TARGETS	151
CID000003345	TARGETS	2862
CID000003345	TARGETS	887
CID000003345	TARGETS	552
CID000003345	TARGETS	59340
CID000003345	TARGETS	3361
CID000003345	TARGETS	3061
CID000003345	TARGETS	152
CID000003345	TARGETS	3354
CID000003345	TARGETS	1813
CID000003345	TARGETS	148
CID000003345	TARGETS	146
CID000003345	TARGETS	140
CID000003345	TARGETS	3355
CID000003345	TARGETS	3356
CID000003345	TARGETS	5731
CID000003345	TARGETS	3352
CID000003345	TARGETS	4887
CID000003345	TARGETS	23620
CID000003345	TARGETS	3350
CID000003345	TARGETS	11255
CID000003345	TARGETS	8484
CID000003345	TARGETS	680
CID000003345	TARGETS	729230
CID000003345	TARGETS	5734
CID000003345	TARGETS	136
CID000003345	TARGETS	319100
CID000003345	TARGETS	135
CID000003345	TARGETS	53831
CID000003345	TARGETS	285601
CID000003345	TARGETS	9287
CID000003345	TARGETS	83551
CID000003345	TARGETS	3363
CID000003345	TARGETS	134864
CID000003345	TARGETS	3274
CID000003345	TARGETS	4159
CID000003345	TARGETS	155
CID000003345	TARGETS	4160
CID000003345	TARGETS	5732
CID000003345	TARGETS	1812
CID000003345	TARGETS	4158
CID000003345	TARGETS	11250
CID000003345	TARGETS	5243
CID000003345	TARGETS	2844
CID000003345	TARGETS	2827
